"country","dpc","pop2022"
"Cuba","8.4000","11212191"
"Italy","8","59037474"
"Monaco","7.5000","36469"
"Georgia","7.1000","3744385"
"France","6.5000","64626628"
"Greece","6.2000","10384971"
"San Marino","6.1000","33660"
"Belgium","6","11655930"
"United Kingdom","5.8000","67508936"
"Israel","5.5000","9038309"
"Portugal","5.3000","10270865"
"Chile","5.2000","19603733"
"Belarus","5.2000","9534954"
"Austria","5.2000","8939617"
"Lithuania","5","2750055"
"Norway","4.9000","5434319"
"Uruguay","4.9000","3422794"
"Mexico","4.8000","127504125"
"Finland","4.6000","5540745"
"Trinidad and Tobago","4.5000","1531044"
"Russia","4.4000","144713314"
"Armenia","4.4000","2780469"
"Germany","4.3000","83369843"
"Sweden","4.3000","10549347"
"Switzerland","4.3000","8740472"
"Bulgaria","4.2000","6781953"
"Denmark","4.2000","5882261"
"Czech Republic","4.1000","10493986"
"Iceland","4.1000","372899"
"Spain","4","47558630"
"Argentina","4","45510318"
"Kazakhstan","4","19397998"
"Mongolia","3.9000","3398366"
"Colombia","3.8000","51874024"
"Australia","3.8000","26177413"
"North Korea","3.7000","26069416"
"Netherlands","3.7000","17564014"
"Estonia","3.5000","1326062"
"Azerbaijan","3.4000","10358074"
"Hungary","3.4000","9967308"
"New Zealand","3.4000","5185288"
"Ireland","3.4000","5023109"
"Latvia","3.3000","1850651"
"Andorra","3.3000","79824"
"Slovenia","3.2000","2119844"
"Serbia","3.1000","7221365"
"Ukraine","3","39701739"
"Romania","3","19659267"
"Croatia","3","4030358"
"Luxembourg","3","647599"
"El Salvador","2.9000","6336392"
"Costa Rica","2.9000","5180829"
"North Macedonia","2.9000","2093599.0000"
"Malta","2.9000","533286"
"Montenegro","2.8000","627082"
"Antigua and Barbuda","2.8000","93763"
"Saint Kitts and Nevis","2.8000","47657"
"United States","2.6000","338289857"
"Saudi Arabia","2.6000","36408820"
"Kuwait","2.6000","4268873"
"Moldova","2.6000","3272996"
"Japan","2.5000","123951692"
"United Arab Emirates","2.5000","9441129"
"Qatar","2.5000","2695122"
"Mauritius","2.5000","1299469"
"Barbados","2.5000","281635"
"Seychelles","2.5000","107118"
"South Korea","2.4000","51815810"
"Poland","2.4000","39857145"
"Canada","2.4000","38454327"
"Uzbekistan","2.4000","34627652"
"Brazil","2.3000","215313498"
"Jordan","2.3000","11285869"
"Singapore","2.3000","5975689"
"Ecuador","2.2000","18001000"
"Kyrgyzstan","2.2000","6630623"
"Turkmenistan","2.2000","6430770"
"Libya","2.1000","6812341"
"Lebanon","2.1000","5489739"
"China","2","1425887337"
"Cyprus","2","1251488"
"New Caledonia","2","289950"
"Oman","1.9000","4576298"
"Bahamas","1.9000","409984"
"Cayman Islands","1.9000","68706"
"Turkey","1.8000","85341241"
"Puerto Rico","1.8000","3252407"
"Guyana","1.8000","808726"
"Bermuda","1.8000","64184"
"Algeria","1.7000","44903225"
"Venezuela","1.7000","28301696"
"Tajikistan","1.7000","9952787"
"Nicaragua","1.7000","6948392"
"Maldives","1.7000","523787.0000"
"French Polynesia","1.7000","306279"
"Iran","1.6000","88550570"
"Panama","1.6000","4408581"
"Albania","1.6000","2842321"
"Brunei","1.6000","449002"
"Malaysia","1.5000","33938221"
"Paraguay","1.4000","6780744"
"Grenada","1.4000","125438"
"Isle of Man","1.4000","84519"
"Palau","1.4000","18055"
"Syria","1.3000","22125249"
"Tunisia","1.3000","12356117"
"Hong Kong","1.3000","7488865"
"Nauru","1.3000","12668"
"Sri Lanka","1.2000","21832143"
"Pakistan","1.1000","235824862"
"Belize","1.1000","405272"
"Guam","1.1000","171774"
"Aruba","1.1000","106445"
"Dominica","1.1000","72737"
"Greenland","1.1000","56466"
"Bolivia","1","12224110"
"India","0.9000","1417173173"
"Thailand","0.9000","71697030"
"Bahrain","0.9000","1472233"
"Fiji","0.9000","929766"
"Saint Vincent and the Grenadines","0.9000","103948"
"Tuvalu","0.9000","11312"
"Vietnam","0.8000","98186856"
"South Africa","0.8000","59893885"
"Peru","0.8000","34049588"
"Nepal","0.8000","30547580"
"Palestine","0.8000","5250072"
"Timor-Leste","0.8000","1341296"
"Suriname","0.8000","618040"
"American Samoa","0.8000","44273"
"Egypt","0.7000","110990103"
"Myanmar","0.7000","54179306"
"Iraq","0.7000","44496122"
"Morocco","0.7000","37457971"
"Gabon","0.7000","2388992"
"Bangladesh","0.6000","171186372"
"Philippines","0.6000","115559009"
"Namibia","0.6000","2567012"
"Saint Lucia","0.6000","179857"
"Indonesia","0.5000","275501339"
"Yemen","0.5000","33696614"
"Jamaica","0.5000","2827377"
"Bhutan","0.5000","782455"
"Tonga","0.5000","106858"
"Nigeria","0.4000","218541212"
"Guatemala","0.4000","17843908"
"Laos","0.4000","7529475"
"Equatorial Guinea","0.4000","1674908"
"Northern Mariana Islands","0.4000","49551"
"Marshall Islands","0.4000","41569"
"Sudan","0.3000","46874204"
"Afghanistan","0.3000","41128771"
"Honduras","0.3000","10432860"
"Botswana","0.3000","2630296"
"Sao Tome and Principe","0.3000","227380"
"Samoa","0.3000","222382"
"Kenya","0.2000","54027487"
"Uganda","0.2000","47249585"
"Angola","0.2000","35588987"
"Madagascar","0.2000","29611714"
"Ivory Coast","0.2000","28160542"
"Cambodia","0.2000","16767842"
"Zimbabwe","0.2000","16320537"
"Haiti","0.2000","11584996"
"Mauritania","0.2000","4736139"
"Djibouti","0.2000","1120849"
"Comoros","0.2000","836774"
"Solomon Islands","0.2000","724273"
"Vanuatu","0.2000","326740"
"Kiribati","0.2000","131232"
"Micronesia","0.2000","114164"
"Ethiopia","0.1000","123379924"
"DR Congo","0.1000","99010212"
"Tanzania","0.1000","65497748"
"Ghana","0.1000","33475870.0000"
"Mozambique","0.1000","32969518.0000"
"Cameroon","0.1000","27914536"
"Burkina Faso","0.1000","22673762"
"Mali","0.1000","22593590"
"Zambia","0.1000","20017675"
"Chad","0.1000","17723315"
"Senegal","0.1000","17316449"
"Guinea","0.1000","13859341"
"Rwanda","0.1000","13776698"
"Benin","0.1000","13352864"
"Burundi","0.1000","12889576"
"Papua New Guinea","0.1000","10142619"
"Togo","0.1000","8848699"
"Sierra Leone","0.1000","8605718"
"Republic of the Congo","0.1000","5970424"
"Eritrea","0.1000","3684032"
"Gambia","0.1000","2705992"
"Lesotho","0.1000","2305825"
"Guinea-Bissau","0.1000","2105566"
"Eswatini","0.1000","1201670"
"Niger","0","26207977"
"Malawi","0","20405317"
"Somalia","0","17597511"
"Liberia","0","5302681"