"country","hpe","hpeDataYear","hpee","hpeeDataYear"
"Mauritania","54","2017","",""
"Egypt","53","2015","40","2020"
"Gambia","51","2012","50","2018"
"Burkina Faso","50","2018","",""
"Qatar","50","2015","49","2014"
"Lesotho","50","2019","",""
"Bangladesh","49","2017","51","2017"
"Kenya","48","2019","47","2019"
"Lebanon","48","2019","47","2019"
"Mongolia","48","2021","43","2021"
"Myanmar","47","2020","45","2020"
"Jordan","47","2020","48","2020"
"Botswana","47","2020","46","2020"
"Guyana","47","2019","43","2019"
"Iran","46","2020","43","2020"
"Sri Lanka","46","2019","44","2019"
"Cambodia","46","2019","49","2019"
"Tunisia","46","2014","",""
"Serbia","46","2021","39","2021"
"Eswatini","46","2016","48","2016"
"Macau","46","2015","",""
"Mexico","45","2021","44","2021"
"Turkey","45","2021","44","2021"
"Tanzania","45","2020","54","2020"
"Peru","45","2015","",""
"Malaysia","45","2015","44","2020"
"Namibia","45","2018","",""
"Samoa","45","2017","45","2017"
"Thailand","44","2019","42","2020"
"Colombia","44","2021","46","2021"
"South Korea","44","2015","38","2021"
"Nepal","44","2017","",""
"Guatemala","44","2019","46","2016"
"Senegal","44","2018","51","2019"
"Benin","44","2018","",""
"Togo","44","2017","",""
"Singapore","44","2015","",""
"Jamaica","44","2020","42","2014"
"Montenegro","44","2020","43","2020"
"Brunei","44","2020","45","2020"
"Seychelles","44","2016","40","2020"
"Afghanistan","43","2021","39","2021"
"Saudi Arabia","43","2020","",""
"Yemen","43","2014","44","2010"
"Liberia","43","2016","49","2017"
"Palestine","43","2015","38","2021"
"Georgia","43","2020","43","2020"
"South Africa","42","2021","",""
"Algeria","42","2014","",""
"Iraq","42","2021","30","2021"
"Mozambique","42","2015","44","2015"
"Zambia","42","2020","45","2020"
"Dominican Republic","42","2021","39","2021"
"Laos","42","2017","41","2017"
"Nicaragua","42","2014","",""
"Costa Rica","42","2021","42","2021"
"Bosnia and Herzegovina","42","2021","42","2021"
"Albania","42","2019","43","2019"
"Belize","42","2019","40","2020"
"Chile","41","2021","38","2021"
"Israel","41","2017","34","2020"
"Paraguay","41","2021","41","2021"
"Guinea-Bissau","41","2018","",""
"North Macedonia","41","2021","38","2021"
"Cayman Islands","41","2014","42","2015"
"Palau","41","2014","43","2014"
"Romania","40","2015","40","2021"
"Zimbabwe","40","2019","44","2019"
"Hungary","40","2015","38","2021"
"Slovakia","40","2015","37","2021"
"Croatia","40","2015","38","2021"
"Armenia","40","2020","39","2020"
"Timor-Leste","40","2013","38","2016"
"Mauritius","40","2019","38","2019"
"Cape Verde","40","2015","44","2019"
"Saint Lucia","40","2021","38","2021"
"Indonesia","39","2021","39","2021"
"Brazil","39","2021","39","2021"
"Russia","39","2020","36","2020"
"Japan","39","2015","37","2020"
"Uganda","39","2017","46","2017"
"Ukraine","39","2015","40","2019"
"Venezuela","39","2017","39","2020"
"Bolivia","39","2021","40","2021"
"Greece","39","2015","38","2021"
"Portugal","39","2015","38","2021"
"Belarus","39","2020","35","2020"
"Kyrgyzstan","39","2020","37","2020"
"Montserrat","39","2020","38","2020"
"Nigeria","38","2019","",""
"Spain","38","2015","35","2021"
"Poland","38","2015","39","2021"
"Honduras","38","2020","43","2020"
"Panama","38","2014","40","2021"
"Moldova","38","2015","39","2021"
"Lithuania","38","2015","39","2021"
"Malta","38","2015","37","2021"
"United Kingdom","37","2015","33","2020"
"Italy","37","2015","35","2021"
"Mali","37","2014","47","2020"
"Rwanda","37","2020","31","2020"
"Burundi","37","2020","",""
"New Zealand","37","2014","",""
"Uruguay","37","2021","44","2018"
"Luxembourg","37","2015","36","2021"
"Canada","36","2021","",""
"Madagascar","36","2015","42","2015"
"Niger","36","2014","40","2017"
"Tonga","36","2018","36","2018"
"Germany","35","2015","34","2021"
"Ecuador","35","2021","38","2020"
"Chad","35","2018","",""
"Switzerland","35","2015","36","2021"
"Ghana","34","2015","41","2017"
"Malawi","34","2013","32","2013"
"Norway","34","2015","33","2021"
"Djibouti","32","2017","",""
"Kazakhstan","31","2015","38","2017"
"Somalia","31","2019","",""
"Micronesia","30","2014","39","2014"
"Australia","29","2020","32","2020"
"United States","","","37","2021"
"Pakistan","","","49","2021"
"Ethiopia","","","42","2021"
"Philippines","","","36","2020"
"DR Congo","","","42","2012"
"France","","","35","2021"
"Argentina","","","34","2021"
"Ivory Coast","","","40","2019"
"Netherlands","","","30","2021"
"Belgium","","","34","2021"
"Sweden","","","35","2021"
"Azerbaijan","","","34","2021"
"Austria","","","33","2021"
"Sierra Leone","","","45","2018"
"Hong Kong","","","44","2016"
"Bulgaria","","","39","2021"
"El Salvador","","","45","2021"
"Denmark","","","34","2021"
"Finland","","","35","2021"
"Ireland","","","35","2021"
"Slovenia","","","39","2021"
"Latvia","","","39","2021"
"Estonia","","","37","2021"
"Cyprus","","","38","2021"
"Comoros","","","44","2014"
"Bhutan","","","48","2020"
"Solomon Islands","","","42","2013"
"Maldives","","","48","2019"
"Iceland","","","36","2021"
"Vanuatu","","","37","2019"
"Aruba","","","40","2010"
"Marshall Islands","","","40","2019"
"Cook Islands","","","37","2019"
"Nauru","","","40","2013"
"Tuvalu","","","38","2016"